Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	13.191537	0.0	13.191537	13.191537	1000.0	0.6820029	1.2362882	8.186385	0.21235642	1000	3.3378602e-09	0.009969367	0.14119749	-0.008049548	-1.4309465	0.25830644	0.807	1.0	44.24904990196228
1	9.248969	0.1779264	9.489895	9.0507965	238.25	1.9428775	2.3898628	8.174003	0.32993412	2000	-8.5830685e-09	0.088949084	0.057947513	-0.082031175	-1.4310454	0.085378684	0.631	1.0	108.01476001739502
2	9.166577	0.08077904	9.287289	9.059853	226.5	1.7241492	2.4601104	8.101961	-0.120013	3000	-7.0035455e-08	0.0035207295	0.007947212	-0.0023645158	-1.4310215	0.028772306	0.277	1.0	170.89292240142822
3	9.06733	0.255142	9.458106	8.77717	222.5	1.6837773	2.468524	8.080805	-0.3924297	4000	-1.6018749e-08	0.008531592	-0.0012494399	-0.0040930477	-1.4309992	0.023861246	0.198	1.0	233.43779134750366
4	9.00527	0.17434305	9.204171	8.796479	216.0	1.7054327	2.4242792	8.014254	-0.18355367	5000	-2.7433037e-08	0.005524679	0.036456566	-0.00210497	-1.4310219	0.08163935	0.581	1.0	295.89250135421753
5	9.011985	0.3011783	9.306488	8.62051	218.25	1.6239369	2.41523	7.9327216	-0.30563203	6000	3.681332e-08	0.005625206	0.0608319	-0.002545882	-1.4310744	0.13207556	0.681	1.0	359.55826926231384
6	9.218298	0.17018542	9.49255	9.046672	231.5	1.6514517	2.4240499	8.005908	-0.2005032	7000	1.2764335e-07	0.0044300957	0.07146329	-0.0025849422	-1.4311554	0.11630341	0.693	1.0	423.2990584373474
7	8.836696	0.0	8.836696	8.836696	204.0	1.3450229	1.5191659	8.020173	-0.20402575	8000	-1.4346838e-07	0.14983046	0.06741992	-0.14638981	-1.4312156	0.1795648	0.721	1.0	466.0403175354004
8	9.003816	0.14335608	9.125814	8.764325	212.5	1.6667037	2.4805763	8.121438	-0.2529306	9000	-9.447336e-09	0.014735508	0.09234413	-0.009353701	-1.4312241	0.16777702	0.709	1.0	527.1364567279816
9	9.494811	0.3020734	9.915987	9.222331	264.66666	1.3477033	2.1855326	8.013068	-0.28582627	10000	-4.1931866e-08	0.017326104	0.07322415	-0.010485327	-1.4312674	0.111455075	0.699	1.0	584.4058272838593
