Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	1.1893846	2.4270627	7.6072226	0.18219474	478.25	0.35948575	0.2175843	0.9364672	-0.87868506	6000	-4.967054e-09	0.73579305	-0.006324835	-0.053872168	0.8696585	0.008870714	0.09533334	79.0	36.561501026153564
1	4.0420804	4.2662883	9.196648	0.111340635	657.0	0.37878186	0.4354535	1.5569161	-1.8739656	12000	-4.967054e-09	1.1186515	-0.004768349	-0.15907112	0.86981183	0.015440571	0.22049999	5.0	76.23415684700012
2	2.6812384	3.7918947	8.693623	-0.05133753	572.8571	1.3595595	0.98628193	3.6152847	-2.7678797	18000	7.450581e-09	3.013583	-0.0066915913	-1.5093489	0.86956185	0.0058268826	0.053833332	79.0	116.28818035125732
3	1.3287278	0.45117503	1.5923485	0.3258072	916.8333	0.9930289	0.26275745	1.59762	0.11320848	24000	-1.9868216e-08	0.64634305	-0.0049836077	-0.60377544	0.86908	0.017024212	0.27216667	6.0	149.43578386306763
4	0.11719167	0.16202898	0.43560433	-0.11658733	402.27274	0.32441902	0.121991724	0.7254654	0.02602882	30000	-8.692344e-09	0.14865421	-0.0068917447	-0.118369155	0.8683346	0.010419068	0.07750001	79.0	177.85748553276062
5	1.1413454	0.3940383	1.5036074	0.55516535	937.5	0.025481038	0.07770196	0.26027808	-0.15072393	36000	1.4901161e-08	0.018122142	-0.009865891	-0.009387779	0.87803346	0.008888527	0.09683334	79.0	206.66741585731506
6	1.4045843	0.029894674	1.4346634	1.3457735	1000.0	0.1263325	0.027576905	0.22034125	0.049547423	42000	-2.483527e-09	0.00053073285	-0.0062091104	-0.00020866415	0.87254363	0.020489061	0.3355	4.0	233.23848128318787
7	1.3785061	0.04367556	1.4567868	1.3202591	1000.0	0.15985587	0.016661026	0.2114766	0.11152664	48000	-8.940697e-08	0.00081692147	-0.0027136256	-0.00061392254	0.8723412	0.01685571	0.26183334	4.0	260.04383301734924
8	1.230224	0.38900054	1.4395102	0.36203882	938.1667	0.15307488	0.013727239	0.21000725	0.11698524	54000	0.0	0.0045356923	-0.0038929929	-0.0010794224	0.87208587	0.015332782	0.28483334	7.0	287.01731610298157
9	1.3834232	0.016288498	1.413273	1.3615171	1000.0	0.14552435	0.0131062	0.21741518	0.10863415	60000	2.1109978e-08	0.00021310954	-0.008480489	-0.000109367546	0.8713562	0.018379461	0.23799999	4.0	313.66548800468445
10	1.3208237	0.043674424	1.3670704	1.2386627	1000.0	0.14886092	0.009030025	0.19861566	0.11606303	66000	7.4505806e-08	0.0004683258	0.0016681483	-0.00034660488	0.87053114	0.017044274	0.232	4.0	340.66602325439453
11	0.9082198	0.49117112	1.4381033	0.17950739	854.0	0.11935466	0.013587486	0.17804503	0.08183853	72000	-1.4901161e-08	0.010099876	-0.0056117848	-0.0017293328	0.86932683	0.018212708	0.28166667	6.0	367.74229288101196
12	1.5246025	0.02406246	1.5612897	1.486437	1000.0	0.090282544	0.033137597	0.21192834	0.005722638	78000	-6.146729e-08	0.003271695	-0.00845141	-0.0029827005	0.86791086	0.015464869	0.25716665	4.0	396.2672905921936
13	1.5457851	0.036719494	1.6180896	1.50884	1000.0	0.14992143	0.008311191	0.18732741	0.12406118	84000	1.2417635e-09	0.00010348713	-0.0059374664	-9.623866e-06	0.86726445	0.015913146	0.2961667	6.0	423.406546831131
14	1.5982717	0.023215877	1.6481538	1.5810748	1000.0	0.14404947	0.011137527	0.18885696	0.10336338	90000	3.601114e-08	0.00023510978	-0.007609699	-0.000118522	0.86582595	0.01778643	0.28633332	5.0	450.9724245071411
15	4.098712	3.6817913	9.371625	0.6798688	953.0	0.10125596	0.07347924	0.20660599	-0.08590405	96000	-1.9868216e-08	0.8795143	-0.004218223	-0.13188669	0.86419183	0.009351428	0.075833336	79.0	493.1470739841461
16	6.9760175	3.796345	9.92273	1.5829605	1000.0	0.4273822	0.22472179	0.9062798	-0.06827924	102000	1.7384687e-08	1.5454254	-0.004217868	-0.381809	0.8602255	0.009231506	0.07399999	79.0	544.0499532222748
17	9.139313	0.49658594	10.004764	8.516325	939.6667	0.71289617	0.33886188	1.5367973	-0.39981502	108000	-8.692344e-09	1.6847372	-0.0038915481	-0.38763508	0.861989	0.008749136	0.098	79.0	590.437643289566
18	4.672857	3.7594721	8.438161	-0.05068121	452.3	1.5226172	0.67261237	2.8224072	-0.041611582	114000	2.483527e-09	2.7256243	-0.0066479943	-0.56094265	0.8548085	0.0036937238	0.0505	79.0	637.4241364002228
19	8.96111	0.9099527	10.193845	7.655996	881.1667	0.7130502	0.8559788	2.3977463	-0.90898913	120000	4.967054e-09	1.2755989	-0.0052167163	-0.38817215	0.8468507	0.00784853	0.107499994	79.0	685.9536066055298
20	8.726422	0.46759182	9.330903	8.172269	942.8333	1.4904764	0.95751405	3.9777608	-0.7937502	126000	4.967054e-09	1.5665331	-0.0025870085	-0.66684556	0.84767455	0.016193857	0.24266668	4.0	734.2958135604858
21	2.4831476	3.532626	7.9211593	-0.12683247	288.93332	1.5939564	0.96236956	7.1379085	-0.22586061	132000	2.6077032e-08	3.0472994	-0.00422133	-0.7386699	0.8478548	0.020725533	0.31733334	5.0	775.7262208461761
